"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"277",2000,500,"adam",20,16,"cuda",FALSE,1000,20,FALSE,86.9190540313721
"278",2000,500,"sgd",20,16,"cuda",FALSE,1000,20,FALSE,28.9474363327026
"279",2000,500,"adam",40,16,"cuda",FALSE,1000,20,FALSE,173.566473484039
"280",2000,500,"sgd",40,16,"cuda",FALSE,1000,20,FALSE,58.7212955951691
"281",2000,500,"adam",20,256,"cuda",FALSE,1000,20,FALSE,5.77486801147461
"282",2000,500,"sgd",20,256,"cuda",FALSE,1000,20,FALSE,1.88938474655151
"283",2000,500,"adam",40,256,"cuda",FALSE,1000,20,FALSE,10.591334104538
"284",2000,500,"sgd",40,256,"cuda",FALSE,1000,20,FALSE,3.71540236473083
"285",2000,500,"adam",20,512,"cuda",FALSE,1000,20,FALSE,3.20336413383484
"286",2000,500,"sgd",20,512,"cuda",FALSE,1000,20,FALSE,0.962637186050415
"287",2000,500,"adam",40,512,"cuda",FALSE,1000,20,FALSE,6.42715644836426
"288",2000,500,"sgd",40,512,"cuda",FALSE,1000,20,FALSE,1.92142176628113
